2996 2
4.953843e-03 4.919765e-03 0
0.000000e+00 0.000000e+00 1
7.812500e-03 0.000000e+00 1
0.000000e+00 7.812500e-03 1
1.095673e-02 5.849135e-03 0
5.893399e-03 1.089834e-02 0
1.562500e-02 0.000000e+00 1
0.000000e+00 1.562500e-02 1
1.274618e-02 1.273358e-02 0
1.842648e-02 6.451651e-03 0
6.429564e-03 1.834652e-02 0
2.343750e-02 0.000000e+00 1
0.000000e+00 2.343750e-02 1
2.080867e-02 1.375192e-02 0
1.337304e-02 2.089770e-02 0
2.654229e-02 6.254715e-03 0
6.159123e-03 2.631293e-02 0
3.125000e-02 0.000000e+00 1
2.159396e-02 2.350879e-02 0
0.000000e+00 3.125000e-02 1
3.134819e-02 1.243031e-02 0
1.172650e-02 3.041957e-02 0
3.346873e-02 4.793836e-03 0
4.987369e-03 3.330232e-02 0
3.459202e-02 2.435625e-02 0
3.906250e-02 0.000000e+00 1
1.678027e-02 3.885083e-02 0
0.000000e+00 3.906250e-02 1
3.877103e-02 5.234725e-03 0
4.272570e-02 8.903629e-03 0
6.746389e-03 3.928618e-02 0
2.637703e-02 5.206409e-02 0
4.687500e-02 0.000000e+00 1
4.954225e-02 1.129270e-02 0
5.279728e-02 2.307263e-02 0
6.565195e-03 4.695823e-02 0
0.000000e+00 4.687500e-02 1
9.007963e-03 5.490136e-02 0
5.468750e-02 0.000000e+00 1
5.575860e-02 5.501404e-02 0
6.250000e-02 0.000000e+00 1
8.494022e-03 6.558109e-02 0
2.180768e-02 7.947483e-02 0
0.000000e+00 5.468750e-02 1
1.087609e-02 7.445729e-02 0
6.978003e-02 1.829677e-02 0
7.031250e-02 0.000000e+00 1
4.405794e-03 6.335136e-02 0
0.000000e+00 6.250000e-02 1
3.036862e-02 9.818277e-02 0
8.210342e-02 2.130738e-02 0
0.000000e+00 7.812500e-02 1
8.260900e-03 8.515042e-02 0
0.000000e+00 7.031250e-02 1
6.767349e-02 9.845691e-02 0
9.380554e-02 4.744823e-02 0
7.812500e-02 0.000000e+00 1
1.194255e-02 9.858076e-02 0
8.436278e-03 9.178462e-02 0
0.000000e+00 8.593750e-02 1
7.904870e-02 9.942621e-03 0
2.828466e-02 1.250679e-01 0
9.584769e-02 1.762521e-02 0
1.076179e-02 1.103172e-01 0
1.198737e-01 8.502540e-02 0
0.000000e+00 9.375000e-02 1
8.593750e-02 0.000000e+00 1
1.550065e-02 1.183059e-01 0
9.375000e-02 0.000000e+00 1
0.000000e+00 1.015625e-01 1
4.525136e-02 1.449484e-01 0
1.074673e-01 1.874274e-02 0
9.814812e-02 1.297460e-01 0
1.262651e-01 3.355881e-02 0
0.000000e+00 1.093750e-01 1
1.026301e-02 1.301966e-01 0
1.015625e-01 0.000000e+00 1
6.556742e-03 1.193416e-01 0
1.688508e-02 1.448730e-01 0
1.113134e-02 1.380224e-01 0
1.300884e-01 1.196568e-01 0
0.000000e+00 1.171875e-01 1
1.597762e-01 5.400472e-02 0
6.473753e-03 1.252627e-01 0
8.129203e-02 1.650824e-01 0
1.172364e-01 1.286236e-02 0
1.602483e-01 1.071726e-01 0
1.093750e-01 0.000000e+00 1
1.612180e-02 1.550677e-01 0
1.250987e-01 1.378604e-01 0
0.000000e+00 1.406250e-01 1
3.344108e-02 1.732472e-01 0
1.494041e-01 2.164579e-02 0
1.133664e-01 1.508936e-01 0
